Voucher #,Date,Contact ID,Vendor,Terms,Due Date,Responsible,Ref #,P.O. #,Receipt,Other 1,Line,Item ID,Description,Quantity,U/M,Price,Tax,Amount,Taxes,Total,Currency,Exchange rate,Total base,Account,Group,Tag,Memo,Inventory Location,Comments,Attachments,Approvers,Status,Approval Status,Transfer Status,Created by,Date created,Last Modified by,Date Last Modified
U026555,8/30/2022,United Lift Gate & Trailer Repair Corp.,United Lift Gate & Trailer Repair Corp.,Net 30,9/29/2022,Accounts Payable Accounts Payable,4834-RO-116385,,,,3,Towing / Roadside / Transportation,Towing / Roadside / Transportation,1,,70,Yes,70,5.425,75.425,None,1,75.425,56700 - Towing / Roadside / Transportat,200.1 - Transportation - 11310,4834 - Trailer 4834,,,"Replace the broken rear air bag on the arm stop 
bracket, Road Call - City of Industry",United Lift - Invoice # U026555 - 08-30-22.pdf (https://secure.spendwise.com/attachments/NYxxdMzhlxqCPkXbJRizfKUlMo),Robert Ortega (09/08/2022),Saved,approved,Not transferred,Accounts Payable Accounts Payable,9/8/2022,Robert Ortega,9/8/2022
U026486,8/30/2022,United Lift Gate & Trailer Repair Corp.,United Lift Gate & Trailer Repair Corp.,Net 30,9/29/2022,Accounts Payable Accounts Payable,5353-RO-116403,,,,1,Vehicle Maintenance - Repair,Vehicle Maintenance - Repair,1,Labor - Hours,70,No,70,,70,None,1,70,57200 - Vehicle Maintenance-Repairs,200.1 - Transportation - 11310,5353 - Trailer 5353,,,,United Lift - Invoice # U026486 - 08-30-22.pdf (https://secure.spendwise.com/attachments/cYRchzCBbMMObaeMQzuPIwDJCv),Robert Ortega (09/02/2022),Saved,approved,Not transferred,Accounts Payable Accounts Payable,9/2/2022,Accounts Payable Accounts Payable,9/2/2022
U026486,8/30/2022,United Lift Gate & Trailer Repair Corp.,United Lift Gate & Trailer Repair Corp.,Net 30,9/29/2022,Accounts Payable Accounts Payable,5353-RO-116403,,,,2,Vehicle Maintenance - Repair,Vehicle Maintenance - Repair,1,Parts,36,Yes,36,2.79,38.79,None,1,38.79,57200 - Vehicle Maintenance-Repairs,200.1 - Transportation - 11310,5353 - Trailer 5353,,,,United Lift - Invoice # U026486 - 08-30-22.pdf (https://secure.spendwise.com/attachments/cYRchzCBbMMObaeMQzuPIwDJCv),Robert Ortega (09/02/2022),Saved,approved,Not transferred,Accounts Payable Accounts Payable,9/2/2022,Accounts Payable Accounts Payable,9/2/2022
U026485,8/30/2022,United Lift Gate & Trailer Repair Corp.,United Lift Gate & Trailer Repair Corp.,Net 30,9/29/2022,Accounts Payable Accounts Payable,5315-RO-116115,,,,1,Vehicle Maintenance - Repair,Vehicle Maintenance - Repair,1,Labor - Hours,560,No,560,,560,None,1,560,57200 - Vehicle Maintenance-Repairs,200.1 - Transportation - 11310,5315 - Trailer 5315,,,90 Day PM Services:  Replace four worn out air bags,United Lift - Invoice # U026485 - 08-30-22.pdf (https://secure.spendwise.com/attachments/YWvkdkCJcKrObIviRurHiveJgo),Robert Ortega (09/02/2022),Saved,approved,Not transferred,Accounts Payable Accounts Payable,9/2/2022,Robert Ortega,9/2/2022
U026485,8/30/2022,United Lift Gate & Trailer Repair Corp.,United Lift Gate & Trailer Repair Corp.,Net 30,9/29/2022,Accounts Payable Accounts Payable,5315-RO-116115,,,,2,Vehicle Maintenance - Repair,Vehicle Maintenance - Repair,1,Parts,944,Yes,944,73.16,1017.16,None,1,1017.16,57200 - Vehicle Maintenance-Repairs,200.1 - Transportation - 11310,5315 - Trailer 5315,,,90 Day PM Services:  Replace four worn out air bags,United Lift - Invoice # U026485 - 08-30-22.pdf (https://secure.spendwise.com/attachments/YWvkdkCJcKrObIviRurHiveJgo),Robert Ortega (09/02/2022),Saved,approved,Not transferred,Accounts Payable Accounts Payable,9/2/2022,Robert Ortega,9/2/2022
4174,8/30/2022,CHAIDEZ PALLETS INC.,CHAIDEZ PALLETS INC.,Due on receipt,8/30/2022,Accounts Payable Accounts Payable,210,,,,1,Materials & Supplies,Materials & Supplies,616,Plts,12.5,Yes,7700,596.75,8296.75,None,1,8296.75,67110-1 - Materials & Supplies - Company,100.2 - Warehouse & Log - 14041,210 - Location - 210 E. Lambert Road,,,,Chaidez - Invoice # 4174 - 08-30-22.pdf (https://secure.spendwise.com/attachments/sUIkZMtqjOHPpRafCLBGjnGVIA),,Saved,none,Not transferred,Accounts Payable Accounts Payable,9/2/2022,Accounts Payable Accounts Payable,9/2/2022
20221906,8/30/2022,Carrier Logistics,Carrier Logistics,Net 30,9/29/2022,Accounts Payable Accounts Payable,9278,,,,1,Computer - Copier Expense,Computer - Copier Expense,1,Misc. Purchase & Service,10651,Yes,10651,0,10651,None,1,10651,51210 - Computer Data & Software - CLI,200.1 - Transportation - 11310,9278-2 - Location-9278 Charles Smith Ave.-Rancho Cucamonga,,,,CLI - Invoice # 20221906 - 08-30-22.pdf (https://secure.spendwise.com/attachments/XXoRKaaIJRQhsDuhSObPSGuVtA),,Saved,none,Not transferred,Accounts Payable Accounts Payable,9/2/2022,Accounts Payable Accounts Payable,9/2/2022
SPINV-019693,8/30/2022,Southwest Toyota Lift,Southwest Toyota Lift,,8/30/2022,Accounts Payable Accounts Payable,CG-9278-51530,,,,1,Forklift Repair,Forklift Repair,1,Parts,75.8,Yes,75.8,5.8745,81.6745,None,1,81.6745,51520 - Forklift - Repair,200.1 - Transportation - 11310,9278-2 - Location-9278 Charles Smith Ave.-Rancho Cucamonga,,,Scheduled Maintenance:,Southwest Toyota - Invoice # SPINV-015393 - 08-30-22.pdf (https://secure.spendwise.com/attachments/kEPxtYRQtqpMZvPTvGPeziSciO),Carlos Garcia (09/22/2022),Saved,approved,Not transferred,Accounts Payable Accounts Payable,9/1/2022,Carlos Garcia,9/22/2022
55151,8/30/2022,Gold Standard Service Corp.,Gold Standard Service Corp.,Net 30,9/29/2022,Accounts Payable Accounts Payable,CG-9278-51530,,,,1,Forklift - Scheduled Maintenance,Forklift - Scheduled Maintenance,1,Labor - Hours,100,No,100,,100,None,1,100,51530 - Forklift - Scheduled Maintenance,200.1 - Transportation - 11310,74899 - PALLET JACK - PJ1,,,Scheduled Maintenance:,Gold Standard - Invoice # 55151 - 08-30-22.pdf (https://secure.spendwise.com/attachments/TKzRwXRmPGUlmkuHCOGkSgeXAg); Gold Standard - Invoice # 55151 - 08-30-22 - Backup.pdf (https://secure.spendwise.com/attachments/rLCfxudvPHiHZTREbWVRYbJQJW),Carlos Garcia (09/22/2022),Saved,approved,Not transferred,Accounts Payable Accounts Payable,9/1/2022,Carlos Garcia,9/22/2022
R80514,8/30/2022,"Dion and Sons, Inc","Dion and Sons, Inc",Net 30,9/29/2022,Accounts Payable Accounts Payable,ALL-TRKS-RO-116279,,,,1,Vehicle Maintenance - Repair,Vehicle Maintenance - Repair,220,gal,4.09,Yes,899.8,69.7345,969.5345,None,1,969.5345,51910 - Fuel / Transportation,200.1 - Transportation - 11310,00001.3 - All Company Vehicles,,,DEF Fluid for all trucks,Dion & Sons - Invoice # R80514 - 08-30-22.pdf (https://secure.spendwise.com/attachments/vibjznfFDIWMMjMmPWMqkNPnVy),Robert Ortega (09/21/2022),Saved,approved,Not transferred,Accounts Payable Accounts Payable,9/1/2022,Robert Ortega,9/21/2022
R80514,8/30/2022,"Dion and Sons, Inc","Dion and Sons, Inc",Net 30,9/29/2022,Accounts Payable Accounts Payable,ALL-TRKS-RO-116279,,,,2,Vehicle Maintenance - Repair,Vehicle Maintenance - Repair,1,Fuel Surcharge,14.95,Yes,14.95,1.158625,16.108625,None,1,16.108625,51910 - Fuel / Transportation,200.1 - Transportation - 11310,00001.3 - All Company Vehicles,,,DEF Fluid for all trucks,Dion & Sons - Invoice # R80514 - 08-30-22.pdf (https://secure.spendwise.com/attachments/vibjznfFDIWMMjMmPWMqkNPnVy),Robert Ortega (09/21/2022),Saved,approved,Not transferred,Accounts Payable Accounts Payable,9/1/2022,Robert Ortega,9/21/2022
R80514,8/30/2022,"Dion and Sons, Inc","Dion and Sons, Inc",Net 30,9/29/2022,Accounts Payable Accounts Payable,ALL-TRKS-RO-116279,,,,3,Vehicle Maintenance - Repair,Vehicle Maintenance - Repair,1,Fees,9.5,Yes,9.5,0.73625,10.23625,None,1,10.23625,57200 - Vehicle Maintenance-Repairs,200.1 - Transportation - 11310,00001.3 - All Company Vehicles,,,DEF Fluid for all trucks,Dion & Sons - Invoice # R80514 - 08-30-22.pdf (https://secure.spendwise.com/attachments/vibjznfFDIWMMjMmPWMqkNPnVy),Robert Ortega (09/21/2022),Saved,approved,Not transferred,Accounts Payable Accounts Payable,9/1/2022,Robert Ortega,9/21/2022
55932,8/30/2022,Gold Standard Service Corp.,Gold Standard Service Corp.,Net 30,9/29/2022,Accounts Payable Accounts Payable,CG-9278-51530-PJ,,,,1,Forklift - Scheduled Maintenance,Forklift - Scheduled Maintenance,1,Labor - Hours,100,No,100,,100,None,1,100,51530 - Forklift - Scheduled Maintenance,200.1 - Transportation - 11310,74899 - PALLET JACK - PJ1,,,Scheduled Maintenance:,Gold Standard - Invoice # 55932 - 08-30-22 - 9278.pdf (https://secure.spendwise.com/attachments/BEQyPMrOELzsiESaADSaSxqAMm); Gold Standard - Invoice # 55932 - 08-30-22 - 9278 - Backup.pdf (https://secure.spendwise.com/attachments/EiBXDjvxlzhJiXMaGSVAqGBvaG),Carlos Garcia (08/31/2022),Saved,approved,Not transferred,Accounts Payable Accounts Payable,8/31/2022,Carlos Garcia,8/31/2022
55150,8/30/2022,Gold Standard Service Corp.,Gold Standard Service Corp.,Net 30,9/29/2022,Accounts Payable Accounts Payable,CG-9278-51530-PJ,,,,1,Forklift - Scheduled Maintenance,Forklift - Scheduled Maintenance,1,Labor - Hours,100,No,100,,100,None,1,100,51530 - Forklift - Scheduled Maintenance,200.1 - Transportation - 11310,74899 - PALLET JACK - PJ1,,,Scheduled Maintenance:,Gold Standard - Invoice # 55150 - 08-30-22 - 9278.pdf (https://secure.spendwise.com/attachments/LTGQTLUreRETCAvFTQDmTqEiiz); Gold Standard - Invoice # 55150 - 08-30-22 - 9278 - Backup.pdf (https://secure.spendwise.com/attachments/fnvvOpFGRKjvleHfdQbroHcPte),Carlos Garcia (08/31/2022),Saved,approved,Not transferred,Accounts Payable Accounts Payable,8/31/2022,Carlos Garcia,8/31/2022
35525,8/30/2022,Gold Standard Service Corp.,Gold Standard Service Corp.,Net 30,9/29/2022,Accounts Payable Accounts Payable,CG-9278-51530-B13,,,,1,Forklift - Scheduled Maintenance,Forklift - Scheduled Maintenance,3,Labor - Hours,121.5,No,364.5,,364.5,None,1,364.5,51530 - Forklift - Scheduled Maintenance,200.1 - Transportation - 11310,12257 - Forklift - B13 - Sitdown,,,Scheduled Maintenance:,Gold Standard - Invoice # 35522 - 08-30-22 - Backup.pdf (https://secure.spendwise.com/attachments/SZoxAYFJeNuMsMRpHnNFDybQfa); Gold Standard - Invoice # 35522 - 08-30-22 - 9278.pdf (https://secure.spendwise.com/attachments/ANvAwxXJYMdtRNYympknSamsII),Carlos Garcia (08/31/2022),Saved,approved,Not transferred,Accounts Payable Accounts Payable,8/31/2022,Carlos Garcia,8/31/2022
35525,8/30/2022,Gold Standard Service Corp.,Gold Standard Service Corp.,Net 30,9/29/2022,Accounts Payable Accounts Payable,CG-9278-51530-B13,,,,2,Forklift - Scheduled Maintenance,Forklift - Scheduled Maintenance,364.5,Fuel Surcharge,0.1,Yes,36.45,2.824875,39.274875,None,1,39.274875,51530 - Forklift - Scheduled Maintenance,200.1 - Transportation - 11310,12257 - Forklift - B13 - Sitdown,,,Scheduled Maintenance:,Gold Standard - Invoice # 35522 - 08-30-22 - Backup.pdf (https://secure.spendwise.com/attachments/SZoxAYFJeNuMsMRpHnNFDybQfa); Gold Standard - Invoice # 35522 - 08-30-22 - 9278.pdf (https://secure.spendwise.com/attachments/ANvAwxXJYMdtRNYympknSamsII),Carlos Garcia (08/31/2022),Saved,approved,Not transferred,Accounts Payable Accounts Payable,8/31/2022,Carlos Garcia,8/31/2022
35525,8/30/2022,Gold Standard Service Corp.,Gold Standard Service Corp.,Net 30,9/29/2022,Accounts Payable Accounts Payable,CG-9278-51530-B13,,,,3,Forklift - Scheduled Maintenance,Forklift - Scheduled Maintenance,2,Parts,322.6,Yes,645.2,50.003,695.203,None,1,695.203,51530 - Forklift - Scheduled Maintenance,200.1 - Transportation - 11310,12257 - Forklift - B13 - Sitdown,4430,,Scheduled Maintenance:,Gold Standard - Invoice # 35522 - 08-30-22 - Backup.pdf (https://secure.spendwise.com/attachments/SZoxAYFJeNuMsMRpHnNFDybQfa); Gold Standard - Invoice # 35522 - 08-30-22 - 9278.pdf (https://secure.spendwise.com/attachments/ANvAwxXJYMdtRNYympknSamsII),Carlos Garcia (08/31/2022),Saved,approved,Not transferred,Accounts Payable Accounts Payable,8/31/2022,Carlos Garcia,8/31/2022
35525,8/30/2022,Gold Standard Service Corp.,Gold Standard Service Corp.,Net 30,9/29/2022,Accounts Payable Accounts Payable,CG-9278-51530-B13,,,,4,Forklift - Scheduled Maintenance,Forklift - Scheduled Maintenance,2,Parts,35,Yes,70,5.425,75.425,None,1,75.425,51530 - Forklift - Scheduled Maintenance,200.1 - Transportation - 11310,12257 - Forklift - B13 - Sitdown,,,Scheduled Maintenance:,Gold Standard - Invoice # 35522 - 08-30-22 - Backup.pdf (https://secure.spendwise.com/attachments/SZoxAYFJeNuMsMRpHnNFDybQfa); Gold Standard - Invoice # 35522 - 08-30-22 - 9278.pdf (https://secure.spendwise.com/attachments/ANvAwxXJYMdtRNYympknSamsII),Carlos Garcia (08/31/2022),Saved,approved,Not transferred,Accounts Payable Accounts Payable,8/31/2022,Carlos Garcia,8/31/2022
35522,8/30/2022,Gold Standard Service Corp.,Gold Standard Service Corp.,Net 30,9/29/2022,Accounts Payable Accounts Payable,CG-9278-51530-PJ,,,,1,Forklift - Scheduled Maintenance,Forklift - Scheduled Maintenance,1.5,Labor - Hours,121.5,No,182.25,,182.25,None,1,182.25,51530 - Forklift - Scheduled Maintenance,200.1 - Transportation - 11310,74899 - PALLET JACK - PJ1,,,,Gold Standard - Invoice # 35522 - 08-30-22 - Backup.pdf (https://secure.spendwise.com/attachments/eMKZPvtmZfKAklAPVZaaEgTrtL); Gold Standard - Invoice # 35522 - 08-30-22 - 9278.pdf (https://secure.spendwise.com/attachments/FnsHSBvNKJWwZrbiTwKVWhYjJv),Carlos Garcia (rejected),Saved,rejected,Not transferred,Accounts Payable Accounts Payable,8/31/2022,Accounts Payable Accounts Payable,8/31/2022
35522,8/30/2022,Gold Standard Service Corp.,Gold Standard Service Corp.,Net 30,9/29/2022,Accounts Payable Accounts Payable,CG-9278-51530-PJ,,,,2,Forklift - Scheduled Maintenance,Forklift - Scheduled Maintenance,1,Parts,700,Yes,700,54.25,754.25,None,1,754.25,51530 - Forklift - Scheduled Maintenance,200.1 - Transportation - 11310,74899 - PALLET JACK - PJ1,,,,Gold Standard - Invoice # 35522 - 08-30-22 - Backup.pdf (https://secure.spendwise.com/attachments/eMKZPvtmZfKAklAPVZaaEgTrtL); Gold Standard - Invoice # 35522 - 08-30-22 - 9278.pdf (https://secure.spendwise.com/attachments/FnsHSBvNKJWwZrbiTwKVWhYjJv),Carlos Garcia (rejected),Saved,rejected,Not transferred,Accounts Payable Accounts Payable,8/31/2022,Accounts Payable Accounts Payable,8/31/2022
35522,8/30/2022,Gold Standard Service Corp.,Gold Standard Service Corp.,Net 30,9/29/2022,Accounts Payable Accounts Payable,CG-9278-51530-PJ,,,,3,Forklift - Scheduled Maintenance,Forklift - Scheduled Maintenance,182.25,Fuel Surcharge,0.1,Yes,18.225,1.4124375,19.6374375,None,1,19.6374375,51530 - Forklift - Scheduled Maintenance,200.1 - Transportation - 11310,74899 - PALLET JACK - PJ1,,,,Gold Standard - Invoice # 35522 - 08-30-22 - Backup.pdf (https://secure.spendwise.com/attachments/eMKZPvtmZfKAklAPVZaaEgTrtL); Gold Standard - Invoice # 35522 - 08-30-22 - 9278.pdf (https://secure.spendwise.com/attachments/FnsHSBvNKJWwZrbiTwKVWhYjJv),Carlos Garcia (rejected),Saved,rejected,Not transferred,Accounts Payable Accounts Payable,8/31/2022,Accounts Payable Accounts Payable,8/31/2022
35523,8/30/2022,Gold Standard Service Corp.,Gold Standard Service Corp.,Net 30,9/29/2022,Accounts Payable Accounts Payable,CG-9278-51520-B4,,,,1,Forklift Repair,Forklift Repair,2,Labor - Hours,121.5,No,243,,243,None,1,243,51520 - Forklift - Repair,200.1 - Transportation - 11310,11802 - Forklift - B4 - Sitdown,,,Unexpected Repair: ,Gold Standard - Invoice # 35523 - 08-30-22 - 9278.pdf (https://secure.spendwise.com/attachments/VypQzsRTNtnWsqvGPCJVdFvSKd); Gold Standard - Invoice # 35523 - 08-30-22 - 9278 - Backup.pdf (https://secure.spendwise.com/attachments/WpOQeZMzYEhSWOZFPKfywRlVuv),Carlos Garcia (08/31/2022),Saved,approved,Not transferred,Accounts Payable Accounts Payable,8/31/2022,Carlos Garcia,8/31/2022
35523,8/30/2022,Gold Standard Service Corp.,Gold Standard Service Corp.,Net 30,9/29/2022,Accounts Payable Accounts Payable,CG-9278-51520-B4,,,,2,Forklift Repair,Forklift Repair,1,Parts,232.08,Yes,232.08,17.9862,250.0662,None,1,250.0662,51520 - Forklift - Repair,200.1 - Transportation - 11310,11802 - Forklift - B4 - Sitdown,,,Unexpected Repair: ,Gold Standard - Invoice # 35523 - 08-30-22 - 9278.pdf (https://secure.spendwise.com/attachments/VypQzsRTNtnWsqvGPCJVdFvSKd); Gold Standard - Invoice # 35523 - 08-30-22 - 9278 - Backup.pdf (https://secure.spendwise.com/attachments/WpOQeZMzYEhSWOZFPKfywRlVuv),Carlos Garcia (08/31/2022),Saved,approved,Not transferred,Accounts Payable Accounts Payable,8/31/2022,Carlos Garcia,8/31/2022
55999,8/30/2022,Gold Standard Service Corp.,Gold Standard Service Corp.,Net 30,9/29/2022,Accounts Payable Accounts Payable,CG-9278-51530-B22,,,,1,Forklift - Scheduled Maintenance,Forklift - Scheduled Maintenance,1,Labor - Hours,100,No,100,,100,None,1,100,51530 - Forklift - Scheduled Maintenance,200.1 - Transportation - 11310,22 - Electric PalletJack - B22 - 30-36867,,,Scheduled Maintenance:,Gold Standard - Invoice # 55999 - 08-30-22 - 9278.pdf (https://secure.spendwise.com/attachments/ofbQTqVBJjjOBMXxnRQfkLtIXn); Gold Standard - Invoice # 55999 - 08-30-22 - 9278 - Backup.pdf (https://secure.spendwise.com/attachments/cdrweMMXMdSsmTieCjEAqpSzeq),Carlos Garcia (08/31/2022),Saved,approved,Not transferred,Accounts Payable Accounts Payable,8/31/2022,Carlos Garcia,8/31/2022
37471,8/30/2022,Gold Standard Service Corp.,Gold Standard Service Corp.,Net 30,9/29/2022,Accounts Payable Accounts Payable,LS210-P13-51520,,,,1,Forklift Repair,Forklift Repair,2,Labor - Hours,121.5,No,243,,243,None,1,243,51520 - Forklift - Repair,100.2 - Warehouse & Log - 14041,0705672 - Forklift - S6 Raymond Swing Reach Elec SA-07-05672,,,,Gold Standard - Invoice # 37471 - 08-30-22 - 210.pdf (https://secure.spendwise.com/attachments/KhPaDbqHQOsiQzRdVIrqQThcxm); Gold Standard - Invoice # 37471 - 08-30-22 - 210 - Backup.pdf (https://secure.spendwise.com/attachments/hkxeRSumEkGjNZnZLQvzEibDSm),Luis Serrano (09/14/2022),Saved,approved,Not transferred,Accounts Payable Accounts Payable,8/31/2022,Accounts Payable Accounts Payable,9/14/2022
37471,8/30/2022,Gold Standard Service Corp.,Gold Standard Service Corp.,Net 30,9/29/2022,Accounts Payable Accounts Payable,LS210-P13-51520,,,,2,Forklift Repair,Forklift Repair,243,Fuel Surcharge,0.1,Yes,24.3,1.88325,26.18325,None,1,26.18325,51520 - Forklift - Repair,100.2 - Warehouse & Log - 14041,0705672 - Forklift - S6 Raymond Swing Reach Elec SA-07-05672,,,,Gold Standard - Invoice # 37471 - 08-30-22 - 210.pdf (https://secure.spendwise.com/attachments/KhPaDbqHQOsiQzRdVIrqQThcxm); Gold Standard - Invoice # 37471 - 08-30-22 - 210 - Backup.pdf (https://secure.spendwise.com/attachments/hkxeRSumEkGjNZnZLQvzEibDSm),Luis Serrano (09/14/2022),Saved,approved,Not transferred,Accounts Payable Accounts Payable,8/31/2022,Accounts Payable Accounts Payable,9/14/2022
2852,8/30/2022,C & C PALLETS,C & C PALLETS,Due on receipt,8/30/2022,Accounts Payable Accounts Payable,16107,,,,1,Materials & Supplies,Materials & Supplies,528,Plts,12.5,Yes,6600,0,6600,None,1,6600,67110-1 - Materials & Supplies - Company,100.2 - Warehouse & Log - 14041,16107 - Location - 16107 Commerce Way - Cerritos,,,,C&C - Invoice # 2852 - 08-30-22.pdf (https://secure.spendwise.com/attachments/vSAIgMvfwDKPDBbpfcWEfWprKK),Frank Guzman (pending),Saved,pending,Not transferred,Accounts Payable Accounts Payable,8/31/2022,Accounts Payable Accounts Payable,8/31/2022
2853,8/30/2022,C & C PALLETS,C & C PALLETS,Due on receipt,8/30/2022,Accounts Payable Accounts Payable,210,,,,1,Materials & Supplies,Materials & Supplies,220,Plts,16,Yes,3520,0,3520,None,1,3520,67110-1 - Materials & Supplies - Company,100.2 - Warehouse & Log - 14041,210 - Location - 210 E. Lambert Road,,,,C&C - Invoice # 2853 - 08-30-22.pdf (https://secure.spendwise.com/attachments/JAAGNOZLXnZcFOfMcJFfLzKtcX),Luis Serrano (pending),Saved,pending,Not transferred,Accounts Payable Accounts Payable,8/31/2022,Accounts Payable Accounts Payable,8/31/2022
6901,8/29/2022,ETA Tire Service,ETA Tire Service,Net 30,9/28/2022,Accounts Payable Accounts Payable,5316-RO-116941,,,,1,Towing / Roadside / Transportation,Towing / Roadside / Transportation,3,,65,Yes,195,15.1125,210.1125,None,1,210.1125,56700 - Towing / Roadside / Transportat,200.1 - Transportation - 11310,5316 - Trailer 5316,,,,ETA - Invoice # 6901 - 08-29-22.pdf (https://secure.spendwise.com/attachments/DxTOheGbpMfvtYbcHDVhLWmlFs),Robert Ortega (09/02/2022),Saved,approved,Not transferred,Accounts Payable Accounts Payable,9/2/2022,Robert Ortega,9/2/2022
6901,8/29/2022,ETA Tire Service,ETA Tire Service,Net 30,9/28/2022,Accounts Payable Accounts Payable,5316-RO-116941,,,,2,Towing / Roadside / Transportation,Towing / Roadside / Transportation,1,,25,Yes,25,1.9375,26.9375,None,1,26.9375,56700 - Towing / Roadside / Transportat,200.1 - Transportation - 11310,5316 - Trailer 5316,,,,ETA - Invoice # 6901 - 08-29-22.pdf (https://secure.spendwise.com/attachments/DxTOheGbpMfvtYbcHDVhLWmlFs),Robert Ortega (09/02/2022),Saved,approved,Not transferred,Accounts Payable Accounts Payable,9/2/2022,Robert Ortega,9/2/2022
6901,8/29/2022,ETA Tire Service,ETA Tire Service,Net 30,9/28/2022,Accounts Payable Accounts Payable,5316-RO-116941,,,,3,Towing / Roadside / Transportation,Towing / Roadside / Transportation,1,,135,Yes,135,10.4625,145.4625,None,1,145.4625,56700 - Towing / Roadside / Transportat,200.1 - Transportation - 11310,5316 - Trailer 5316,,,,ETA - Invoice # 6901 - 08-29-22.pdf (https://secure.spendwise.com/attachments/DxTOheGbpMfvtYbcHDVhLWmlFs),Robert Ortega (09/02/2022),Saved,approved,Not transferred,Accounts Payable Accounts Payable,9/2/2022,Robert Ortega,9/2/2022
6901,8/29/2022,ETA Tire Service,ETA Tire Service,Net 30,9/28/2022,Accounts Payable Accounts Payable,5316-RO-116941,,,,4,Towing / Roadside / Transportation,Towing / Roadside / Transportation,1,,6.95,Yes,6.95,0.538625,7.488625,None,1,7.488625,56700 - Towing / Roadside / Transportat,200.1 - Transportation - 11310,5316 - Trailer 5316,,,,ETA - Invoice # 6901 - 08-29-22.pdf (https://secure.spendwise.com/attachments/DxTOheGbpMfvtYbcHDVhLWmlFs),Robert Ortega (09/02/2022),Saved,approved,Not transferred,Accounts Payable Accounts Payable,9/2/2022,Robert Ortega,9/2/2022
6901,8/29/2022,ETA Tire Service,ETA Tire Service,Net 30,9/28/2022,Accounts Payable Accounts Payable,5316-RO-116941,,,,5,Towing / Roadside / Transportation,Towing / Roadside / Transportation,1,,2.95,Yes,2.95,0.228625,3.178625,None,1,3.178625,56700 - Towing / Roadside / Transportat,200.1 - Transportation - 11310,5316 - Trailer 5316,,,,ETA - Invoice # 6901 - 08-29-22.pdf (https://secure.spendwise.com/attachments/DxTOheGbpMfvtYbcHDVhLWmlFs),Robert Ortega (09/02/2022),Saved,approved,Not transferred,Accounts Payable Accounts Payable,9/2/2022,Robert Ortega,9/2/2022
SPINV-019681,8/29/2022,Southwest Toyota Lift,Southwest Toyota Lift,Net 30,9/28/2022,Accounts Payable Accounts Payable,LS210-21522-57600,,,,1,Forklift Repair,Forklift Repair,1,Misc. Purchase & Service,463.2,Yes,463.2,35.898,499.098,None,1,499.098,51520 - Forklift - Repair,100.2 - Warehouse & Log - 14041,210 - Location - 210 E. Lambert Road,,,,Southwest Toyota - Invoice # SPINV-019681 - 08-29-22.pdf (https://secure.spendwise.com/attachments/slUMclAiBgHBdnpqlfHoxfHKwC),Luis Serrano (pending),Saved,pending,Not transferred,Accounts Payable Accounts Payable,9/1/2022,Accounts Payable Accounts Payable,9/1/2022
6126,8/29/2022,Sparky's Truck And Trailer Repair,Sparky's Truck And Trailer Repair,Net 30,9/28/2022,Accounts Payable Accounts Payable,TTB-23-RO-116355,,,,1,Vehicle Maintenance - Repair,Vehicle Maintenance - Repair,1,Parts,135.63,Yes,135.63,0,135.63,None,1,135.63,57200 - Vehicle Maintenance-Repairs,200.1 - Transportation - 11310,2.23-2 - Bobtail TTB-23,,, INSTALL HOOD MIRROR AND ADJUST,Sparkys - Invoice # 00006126 - 08-29-22.pdf (https://secure.spendwise.com/attachments/yYWPKVDjwWeCxZNvjmYdKKgMsq); Sparkys - Invoice # 00006126 - 08-29-22 - Backup.pdf (https://secure.spendwise.com/attachments/qLNZrlzzPKPsXyhtHLbhFhvnJM),Robert Ortega (09/02/2022),Saved,approved,Not transferred,Accounts Payable Accounts Payable,9/1/2022,Robert Ortega,9/2/2022
6126,8/29/2022,Sparky's Truck And Trailer Repair,Sparky's Truck And Trailer Repair,Net 30,9/28/2022,Accounts Payable Accounts Payable,TTB-23-RO-116355,,,,2,Vehicle Maintenance - Repair,Vehicle Maintenance - Repair,1,Labor - Hours,140,Yes,140,0,140,None,1,140,57200 - Vehicle Maintenance-Repairs,200.1 - Transportation - 11310,2.23-2 - Bobtail TTB-23,,, INSTALL HOOD MIRROR AND ADJUST,Sparkys - Invoice # 00006126 - 08-29-22.pdf (https://secure.spendwise.com/attachments/yYWPKVDjwWeCxZNvjmYdKKgMsq); Sparkys - Invoice # 00006126 - 08-29-22 - Backup.pdf (https://secure.spendwise.com/attachments/qLNZrlzzPKPsXyhtHLbhFhvnJM),Robert Ortega (09/02/2022),Saved,approved,Not transferred,Accounts Payable Accounts Payable,9/1/2022,Robert Ortega,9/2/2022
